Temps;EA0;Temps;EA1
0;-0.0637665530666709;0;-5.17937512602657
0.01;-0.0538031393662095;0.01;-4.50879324227571
0.02;-0.0687482599169016;0.02;-5.54198607057333
0.03;-0.0637665530666709;0.03;-5.33832786884159
0.04;-0.0538031393662095;0.04;-4.37467686552554
0.05;-0.0687482599169016;0.05;-5.49728061165661
0.06;-0.0687482599169016;0.06;-5.41283696703613
0.07;-0.0587848462164402;0.07;-4.69258235115558
0.08;-0.0637665530666709;0.08;-4.94591328501701
0.09;-0.0687482599169016;0.09;-5.44264060631394
0.1;-0.0587848462164402;0.1;-4.82669872790575
0.11;-0.0637665530666709;0.11;-4.84656782075763
0.12;-0.0687482599169016;0.12;-5.48734606523067
0.13;-0.0637665530666709;0.13;-4.91114237252623
0.14;-0.0587848462164402;0.14;-4.86146964039654
0.15;-0.0687482599169016;0.15;-5.52708425093442
0.16;-0.0637665530666709;0.16;-5.08002966176718
0.17;-0.0488214325159788;0.17;-3.12292401585728
0.18;-0.0737299667671323;0.18;-5.60159334912896
0.19;-0.0637665530666709;0.19;-5.31845877598971
0.2;-0.0538031393662095;0.2;-4.32003686018288
0.21;-0.0687482599169016;0.21;-5.57675698306412
0.22;-0.0687482599169016;0.22;-5.49231333844364
0.23;-0.0587848462164402;0.23;-4.63297507259995
0.24;-0.0637665530666709;0.24;-5.26878604386002
0.25;-0.0687482599169016;0.25;-5.53701879736036
0.26;-0.0587848462164402;0.26;-4.86146964039654
0.27;-0.0587848462164402;0.27;-4.79689508862793
0.28;-0.0687482599169016;0.28;-5.51218243129551
0.29;-0.0587848462164402;0.29;-5.02042238321155
0.3;-0.0587848462164402;0.3;-4.77702599577606
0.31;-0.0687482599169016;0.31;-5.49728061165661
0.32;-0.0637665530666709;0.32;-5.12473512068391
0.33;-0.0438397256657481;0.33;-3.89285136386752
0.34;-0.0687482599169016;0.34;-5.52708425093442
0.35;-0.0637665530666709;0.35;-5.25885149743408
0.36;-0.0538031393662095;0.36;-4.20578957628459
0.37;-0.0737299667671323;0.37;-5.57178970985115
0.38;-0.0637665530666709;0.38;-5.4178042402491
0.39;-0.0587848462164402;0.39;-4.60317143332213
0.4;-0.0637665530666709;0.4;-5.02538965642452
0.41;-0.0687482599169016;0.41;-5.53701879736036
0.42;-0.0587848462164402;0.42;-4.83166600111872
0.43;-0.0587848462164402;0.43;-4.84656782075763
0.44;-0.0687482599169016;0.44;-5.63139698840678
0.45;-0.0637665530666709;0.45;-5.14460421353579
0.46;-0.0587848462164402;0.46;-4.68761507794261
0.47;-0.0687482599169016;0.47;-5.58669152949005
0.48;-0.0687482599169016;0.48;-5.39296787418425
0.49;-0.0538031393662095;0.49;-4.48892414942384
0.5;-0.0687482599169016;0.5;-5.4823787920177
0.51;-0.0687482599169016;0.51;-5.46747697237879
0.52;-0.0587848462164402;0.52;-4.73232053685933
