Temps;EA0;Temps;EA1
0;-0.12852874211967;0;-5.40290242061019
0.01;-0.118565328419209;0.01;-4.83166600111872
0.02;-0.118565328419209;0.02;-4.95088055822998
0.03;-0.12852874211967;0.03;-5.45754242595285
0.04;-0.108601914718747;0.04;-4.22565866913646
0.05;-0.12852874211967;0.05;-5.29362240992486
0.06;-0.118565328419209;0.06;-5.22408058494329
0.07;-0.113583621568978;0.07;-4.71245144400746
0.08;-0.133510448969901;0.08;-5.44760787952691
0.09;-0.113583621568978;0.09;-4.66774598509073
0.1;-0.118565328419209;0.1;-5.13963694032282
0.11;-0.12852874211967;0.11;-5.43767333310097
0.12;-0.108601914718747;0.12;-4.49885869584978
0.13;-0.133510448969901;0.13;-5.42773878667504
0.14;-0.113583621568978;0.14;-4.77205872256309
0.15;-0.123547035269439;0.15;-5.05022602248937
0.16;-0.133510448969901;0.16;-5.46747697237879
0.17;-0.103620207868516;0.17;-4.40944777801633
0.18;-0.133510448969901;0.18;-5.40290242061019
0.19;-0.118565328419209;0.19;-4.79689508862793
0.2;-0.118565328419209;0.2;-4.93101146537811
0.21;-0.133510448969901;0.21;-5.46250969916582
0.22;-0.0986385010182858;0.22;-4.10147683881223
0.23;-0.133510448969901;0.23;-5.31845877598971
0.24;-0.118565328419209;0.24;-4.87637146003544
0.25;-0.113583621568978;0.25;-4.79689508862793
0.26;-0.12852874211967;0.26;-5.46250969916582
0.27;-0.103620207868516;0.27;-4.42931687086821
0.28;-0.123547035269439;0.28;-5.27872059028596
0.29;-0.12852874211967;0.29;-5.44264060631394
0.3;-0.108601914718747;0.3;-4.70251689758152
0.31;-0.12852874211967;0.31;-5.46747697237879
0.32;-0.123547035269439;0.32;-4.69754962436855
0.33;-0.123547035269439;0.33;-5.14957148674875
0.34;-0.133510448969901;0.34;-5.45257515273988
0.35;-0.103620207868516;0.35;-4.49389142263681
0.36;-0.12852874211967;0.36;-5.37806605454534
0.37;-0.113583621568978;0.37;-4.77205872256309
0.38;-0.118565328419209;0.38;-4.89624055288732
0.39;-0.12852874211967;0.39;-5.45257515273988
0.4;-0.103620207868516;0.4;-4.40944777801633
0.41;-0.12852874211967;0.41;-5.26878604386002
0.42;-0.12852874211967;0.42;-5.43270605988801
0.43;-0.113583621568978;0.43;-4.61807325296104
0.44;-0.133510448969901;0.44;-5.43767333310097
0.45;-0.113583621568978;0.45;-4.75218962971121
0.46;-0.118565328419209;0.46;-4.97074965108186
0.47;-0.133510448969901;0.47;-5.45257515273988
0.48;-0.0836933804675937;0.48;-3.80344044603407
0.49;-0.12852874211967;0.49;-5.2389824045822
0.5;-0.133510448969901;0.5;-5.40786969382316
0.51;-0.108601914718747;0.51;-4.56840052083135
0.52;-0.133510448969901;0.52;-5.40786969382316
0.53;-0.113583621568978;0.53;-4.76709144935012
0.54;-0.118565328419209;0.54;-4.96081510465592
0.55;-0.138492155820131;0.55;-5.44760787952691
0.56;-0.0986385010182858;0.56;-4.22565866913646
0.57;-0.123547035269439;0.57;-5.29362240992486
0.58;-0.12852874211967;0.58;-5.34329514205456
0.59;-0.113583621568978;0.59;-4.66774598509073
0.6;-0.133510448969901;0.6;-5.43270605988801
0.61;-0.113583621568978;0.61;-4.71245144400746
0.62;-0.12852874211967;0.62;-5.06016056891531
0.63;-0.12852874211967;0.63;-5.43767333310097
0.64;-0.103620207868516;0.64;-4.22565866913646
0.65;-0.12852874211967;0.65;-5.38303332775831
0.66;-0.113583621568978;0.66;-4.84160054754466
0.67;-0.118565328419209;0.67;-4.88630600646138
0.68;-0.133510448969901;0.68;-5.46250969916582
0.69;-0.0986385010182858;0.69;-4.13128047809005
0.7;-0.12852874211967;0.7;-5.30852422956377
0.71;-0.113583621568978;0.71;-4.97074965108186
0.72;-0.113583621568978;0.72;-4.7372878100723
0.73;-0.133510448969901;0.73;-5.46250969916582
0.74;-0.113583621568978;0.74;-4.58330234047025
0.75;-0.123547035269439;0.75;-5.18434239923954
0.76;-0.12852874211967;0.76;-5.43270605988801
0.77;-0.108601914718747;0.77;-4.59820416010916
0.78;-0.133510448969901;0.78;-5.44264060631394
0.79;-0.118565328419209;0.79;-4.72735326364636
0.8;-0.123547035269439;0.8;-5.13466966710985
0.81;-0.133510448969901;0.81;-5.45754242595285
0.82;-0.108601914718747;0.82;-4.51376051548868
0.83;-0.133510448969901;0.83;-5.43767333310097
0.84;-0.113583621568978;0.84;-4.78199326898903
0.85;-0.118565328419209;0.85;-5.01545510999858
0.86;-0.12852874211967;0.86;-5.46747697237879
0.87;-0.103620207868516;0.87;-4.36474231909961
0.88;-0.12852874211967;0.88;-5.3532296884805
0.89;-0.118565328419209;0.89;-4.78199326898903
0.9;-0.113583621568978;0.9;-4.87637146003544
0.91;-0.133510448969901;0.91;-5.46747697237879
0.92;-0.103620207868516;0.92;-4.40448050480336
0.93;-0.123547035269439;0.93;-5.31349150277674
0.94;-0.12852874211967;0.94;-5.31349150277674
0.95;-0.113583621568978;0.95;-4.73232053685933
0.96;-0.133510448969901;0.96;-5.46250969916582
0.97;-0.113583621568978;0.97;-4.69258235115558
0.98;-0.123547035269439;0.98;-5.13466966710985
0.99;-0.12852874211967;0.99;-5.45754242595285
1;-0.103620207868516;1;-4.44918596372008
1.01;-0.12852874211967;1.01;-5.3532296884805
1.02;-0.113583621568978;1.02;-4.77702599577606
1.03;-0.113583621568978;1.03;-4.83663327433169
1.04;-0.133510448969901;1.04;-5.44264060631394
1.05;-0.103620207868516;1.05;-4.33990595303476
1.06;-0.123547035269439;1.06;-5.20917876530439
1.07;-0.12852874211967;1.07;-5.44760787952691
1.08;-0.108601914718747;1.08;-4.51872778870165
1.09;-0.133510448969901;1.09;-5.40290242061019
1.1;-0.113583621568978;1.1;-4.78199326898903
1.11;-0.118565328419209;1.11;-4.8664369136095
1.12;-0.133510448969901;1.12;-5.44264060631394
1.13;-0.103620207868516;1.13;-4.37964413873851
1.14;-0.123547035269439;1.14;-5.1744078528136
1.15;-0.12852874211967;1.15;-5.4178042402491
1.16;-0.103620207868516;1.16;-4.37467686552554
1.17;-0.12852874211967;1.17;-5.38800060097128
1.18;-0.118565328419209;1.18;-4.82173145469278
1.19;-0.113583621568978;1.19;-4.85650236718357
1.2;-0.12852874211967;1.2;-5.44760787952691
1.21;-0.113583621568978;1.21;-3.69912770856172
1.22;-0.123547035269439;1.22;-5.18930967245251
1.23;-0.133510448969901;1.23;-5.45754242595285
1.24;-0.108601914718747;1.24;-4.52866233512759
1.25;-0.133510448969901;1.25;-5.39296787418425
1.26;-0.12852874211967;1.26;-4.75218962971121
1.27;-0.118565328419209;1.27;-4.88630600646138
1.28;-0.133510448969901;1.28;-5.43270605988801
1.29;-0.103620207868516;1.29;-4.3498404994607
