Temps;EA0;Temps;EA1
0;-0,108601914718747;0;-4,786960542202
0,015;-0,113583621568978;0,015;-4,91114237252623
0,03;-0,113583621568978;0,03;-5,13963694032282
0,045;-0,123547035269439;0,045;-5,30852422956377
0,06;-0,123547035269439;0,06;-5,37806605454534
0,075;-0,123547035269439;0,075;-5,44264060631394
0,09;-0,118565328419209;0,09;-5,43270605988801
0,105;-0,123547035269439;0,105;-5,44264060631394
0,12;-0,12852874211967;0,12;-5,45257515273988
0,135;-0,12852874211967;0,135;-5,44264060631394
0,15;-0,108601914718747;0,15;-4,76709144935012
0,165;-0,108601914718747;0,165;-4,76212417613715
0,18;-0,108601914718747;0,18;-4,65284416545182
0,195;-0,0986385010182858;0,195;-4,17598593700677
0,21;-0,0836933804675937;0,21;-3,94252409599721
0,225;-0,103620207868516;0,225;-4,43428414408118
0,24;-0,0986385010182858;0,24;-4,54853142797947
0,255;-0,108601914718747;0,255;-4,73232053685933
0,27;-0,113583621568978;0,27;-4,87140418682247
0,285;-0,113583621568978;0,285;-5,03035692963749
0,3;-0,118565328419209;0,3;-5,14460421353579
0,315;-0,123547035269439;0,315;-5,29362240992486
0,33;-0,123547035269439;0,33;-5,34329514205456
0,345;-0,123547035269439;0,345;-5,39793514739722
0,36;-0,12852874211967;0,36;-5,45257515273988
0,375;-0,12852874211967;0,375;-5,4178042402491
0,39;-0,12852874211967;0,39;-5,48734606523067
0,405;-0,123547035269439;0,405;-5,43767333310097
0,42;-0,118565328419209;0,42;-5,05519329570234
0,435;-0,108601914718747;0,435;-4,77702599577606
0,45;-0,113583621568978;0,45;-4,72735326364636
0,465;-0,0986385010182858;0,465;-4,23062594234943
0,48;-0,0886750873178244;0,48;-3,37128767650574
0,495;-0,103620207868516;0,495;-4,50879324227571
0,51;-0,108601914718747;0,51;-4,7372878100723
0,525;-0,113583621568978;0,525;-4,9161096457392
0,54;-0,118565328419209;0,54;-5,12970239389688
0,555;-0,118565328419209;0,555;-5,2389824045822
0,57;-0,123547035269439;0,57;-5,34826241526753
0,585;-0,12852874211967;0,585;-5,44760787952691
0,6;-0,123547035269439;0,6;-5,45257515273988
0,615;-0,12852874211967;0,615;-5,4823787920177
0,63;-0,12852874211967;0,63;-5,45257515273988
0,645;-0,113583621568978;0,645;-4,95584783144295
0,66;-0,108601914718747;0,66;-4,78199326898903
0,675;-0,108601914718747;0,675;-4,74225508328527
0,69;-0,0886750873178244;0,69;-3,88291681744158
0,705;-0,0936567941680551;0,705;-4,20082230307162
0,72;-0,103620207868516;0,72;-4,61310597974807
0,735;-0,113583621568978;0,735;-4,83663327433169
0,75;-0,113583621568978;0,75;-5,03035692963749
0,765;-0,118565328419209;0,765;-5,18930967245251
0,78;-0,123547035269439;0,78;-5,31845877598971
0,795;-0,123547035269439;0,795;-5,38303332775831
0,81;-0,138492155820131;0,81;-5,42277151346207
0,825;-0,12852874211967;0,825;-5,47741151880473
0,84;-0,123547035269439;0,84;-5,42773878667504
0,855;-0,12852874211967;0,855;-5,47741151880473
0,87;-0,118565328419209;0,87;-5,09989875461906
0,885;-0,108601914718747;0,885;-4,74722235649824
0,9;-0,108601914718747;0,9;-4,75715690292418
0,915;-0,108601914718747;0,915;-4,67768053151667
0,93;-0,0886750873178244;0,93;-4,10147683881223
0,945;-0,0886750873178244;0,945;-3,977295008488
0,96;-0,103620207868516;0,96;-4,49885869584978
0,975;-0,108601914718747;0,975;-4,69754962436855
0,99;-0,113583621568978;0,99;-4,85650236718357
1,005;-0,113583621568978;1,005;-5,06016056891531
1,02;-0,12852874211967;1,02;-5,1744078528136
1,035;-0,118565328419209;1,035;-5,29362240992486
1,05;-0,12852874211967;1,05;-5,4178042402491
1,065;-0,123547035269439;1,065;-5,42773878667504
1,08;-0,123547035269439;1,08;-5,47741151880473
1,095;-0,12852874211967;1,095;-5,46250969916582
1,11;-0,123547035269439;1,11;-5,30852422956377
1,125;-0,108601914718747;1,125;-4,80682963505387
1,14;-0,108601914718747;1,14;-4,76212417613715
1,155;-0,0886750873178244;1,155;-4,01703319419175
