Temps;EA0;Temps;EA1
0;-0.153437276370823;0;-10
0.01;-0.138492155820131;0.01;-10
0.02;-0.153437276370823;0.02;-10
0.03;-0.133510448969901;0.03;-9.91815377119929
0.04;-0.153437276370823;0.04;-10
0.05;-0.133510448969901;0.05;-9.90325195156038
0.06;-0.158418983221054;0.06;-10
0.07;-0.133510448969901;0.07;-9.95292468369007
0.08;-0.153437276370823;0.08;-10
0.09;-0.133510448969901;0.09;-9.88835013192147
0.1;-0.153437276370823;0.1;-10
0.11;-0.133510448969901;0.11;-9.90821922477335
0.12;-0.153437276370823;0.12;-10
0.13;-0.133510448969901;0.13;-9.8833828587085
0.14;-0.153437276370823;0.14;-10
0.15;-0.12852874211967;0.15;-9.85854649264365
0.16;-0.153437276370823;0.16;-10
0.17;-0.133510448969901;0.17;-9.87344831228256
0.18;-0.158418983221054;0.18;-10
0.19;-0.148455569520593;0.19;-9.76416830159724
0.2;-0.148455569520593;0.2;-10
0.21;-0.133510448969901;0.21;-9.58534646593034
0.22;-0.153437276370823;0.22;-10
0.23;-0.12852874211967;0.23;-9.34691735170782
0.24;-0.153437276370823;0.24;-10
0.25;-0.118565328419209;0.25;-9.10848823748529
0.26;-0.158418983221054;0.26;-10
0.27;-0.118565328419209;0.27;-8.75581183936447
0.28;-0.153437276370823;0.28;-10
0.29;-0.118565328419209;0.29;-8.87005912326276
0.3;-0.153437276370823;0.3;-10
0.31;-0.133510448969901;0.31;-8.96443731430918
0.32;-0.153437276370823;0.32;-10
0.33;-0.118565328419209;0.33;-8.97933913394809
0.34;-0.148455569520593;0.34;-10
0.35;-0.12852874211967;0.35;-9.74926648195833
0.36;-0.148455569520593;0.36;-10
0.37;-0.133510448969901;0.37;-9.84861194621772
0.38;-0.148455569520593;0.38;-10
0.39;-0.133510448969901;0.39;-9.76416830159724
0.4;-0.153437276370823;0.4;-10
0.41;-0.133510448969901;0.41;-9.79397194087505
0.42;-0.143473862670362;0.42;-10
0.43;-0.133510448969901;0.43;-9.80887376051396
0.44;-0.148455569520593;0.44;-10
0.45;-0.133510448969901;0.45;-9.77907012123615
0.46;-0.148455569520593;0.46;-10
0.47;-0.133510448969901;0.47;-9.86351376585662
0.48;-0.148455569520593;0.48;-10
0.49;-0.133510448969901;0.49;-9.80887376051396
0.5;-0.148455569520593;0.5;-10
0.51;-0.133510448969901;0.51;-9.8833828587085
0.52;-0.148455569520593;0.52;-10
0.53;-0.138492155820131;0.53;-9.93802286405116
0.54;-0.148455569520593;0.54;-10
0.55;-0.133510448969901;0.55;-9.87841558549553
0.56;-0.143473862670362;0.56;-10
0.57;-0.133510448969901;0.57;-9.96285923011601
0.58;-0.143473862670362;0.58;-10
0.59;-0.133510448969901;0.59;-9.87841558549553
0.6;-0.143473862670362;0.6;-10
0.61;-0.133510448969901;0.61;-9.86351376585662
0.62;-0.143473862670362;0.62;-10
0.63;-0.133510448969901;0.63;-9.8833828587085
0.64;-0.143473862670362;0.64;-10
0.65;-0.133510448969901;0.65;-9.95292468369007
0.66;-0.138492155820131;0.66;-10
0.67;-0.148455569520593;0.67;-10
0.68;-0.138492155820131;0.68;-10
0.69;-0.153437276370823;0.69;-10
0.7;-0.138492155820131;0.7;-10
0.71;-0.153437276370823;0.71;-10
0.72;-0.138492155820131;0.72;-10
0.73;-0.153437276370823;0.73;-10
0.74;-0.133510448969901;0.74;-9.86351376585662
0.75;-0.153437276370823;0.75;-10
0.76;-0.12852874211967;0.76;-9.71449556946754
0.77;-0.153437276370823;0.77;-10
0.78;-0.12852874211967;0.78;-9.69462647661567
0.79;-0.153437276370823;0.79;-10
0.8;-0.12852874211967;0.8;-9.61018283199519
0.81;-0.153437276370823;0.81;-10
0.82;-0.12852874211967;0.82;-9.5754119195044
0.83;-0.148455569520593;0.83;-10
0.84;-0.133510448969901;0.84;-9.53567373380065
0.85;-0.153437276370823;0.85;-10
0.86;-0.133510448969901;0.86;-9.61515010520816
0.87;-0.148455569520593;0.87;-10
0.88;-0.133510448969901;0.88;-9.77410284802318
0.89;-0.153437276370823;0.89;-10
0.9;-0.133510448969901;0.9;-9.76416830159724
0.91;-0.148455569520593;0.91;-10
0.92;-0.133510448969901;0.92;-9.80887376051396
0.93;-0.153437276370823;0.93;-10
0.94;-0.133510448969901;0.94;-9.76416830159724
0.95;-0.148455569520593;0.95;-10
0.96;-0.12852874211967;0.96;-9.72443011589348
0.97;-0.153437276370823;0.97;-10
0.98;-0.133510448969901;0.98;-9.82874285336584
0.99;-0.153437276370823;0.99;-10
1;-0.133510448969901;1;-9.78403739444911
1.01;-0.153437276370823;1.01;-10
1.02;-0.133510448969901;1.02;-9.8188083069399
1.03;-0.148455569520593;1.03;-10
1.04;-0.133510448969901;1.04;-9.82377558015287
1.05;-0.153437276370823;1.05;-10
1.06;-0.133510448969901;1.06;-9.81384103372693
1.07;-0.153437276370823;1.07;-10
1.08;-0.133510448969901;1.08;-9.82377558015287
1.09;-0.153437276370823;1.09;-10
1.1;-0.12852874211967;1.1;-9.69959374982864
1.11;-0.153437276370823;1.11;-10
1.12;-0.12852874211967;1.12;-9.61515010520816
1.13;-0.153437276370823;1.13;-10
1.14;-0.123547035269439;1.14;-9.32704825885594
1.15;-0.148455569520593;1.15;-10
1.16;-0.12852874211967;1.16;-9.12835733033717
1.17;-0.153437276370823;1.17;-10
1.18;-0.123547035269439;1.18;-9.01411004643887
1.19;-0.153437276370823;1.19;-10
1.2;-0.118565328419209;1.2;-8.95947004109621
1.21;-0.153437276370823;1.21;-10
1.22;-0.118565328419209;1.22;-8.86012457683682
1.23;-0.158418983221054;1.23;-10
1.24;-0.118565328419209;1.24;-9.0737173249945
1.25;-0.153437276370823;1.25;-10
1.26;-0.113583621568978;1.26;-8.82535366434604
1.27;-0.148455569520593;1.27;-10
1.28;-0.118565328419209;1.28;-8.73097547329962
1.29;-0.153437276370823;1.29;-10
1.3;-0.0986385010182858;1.3;-7.83189902175218
1.31;-0.153437276370823;1.31;-10
1.32;-0.0886750873178244;1.32;-6.53544071316719
1.33;-0.138492155820131;1.33;-10
1.34;-0.108601914718747;1.34;-8.3782990751788
1.35;-0.153437276370823;1.35;-10
1.36;-0.0986385010182858;1.36;-6.92785529699177
1.37;-0.153437276370823;1.37;-10
1.38;-0.118565328419209;1.38;-8.77568093221635
1.39;-0.148455569520593;1.39;-10
1.4;-0.118565328419209;1.4;-8.83032093755901
