Temps;EA0;Temps;EA1
0;-0.0567608322016895;0;-8.11512621259317
0.02;-0.0567608322016895;0.02;-8.23966009449214
0.04;-0.0567608322016895;0.04;-8.94203118840232
0.06;-0.0517817996442318;0.06;-7.88598386989906
0.08;-0.0567608322016895;0.08;-8.50367192411795
0.1;-0.0567608322016895;0.1;-9.13132268888876
0.12;-0.0468027670867741;0.12;-7.04413482826203
0.14;-0.0567608322016895;0.14;-8.77764646429569
0.16;-0.0617398647591472;0.16;-9.14128539944068
0.18;-0.0468027670867741;0.18;-6.93454501219094
0.2;-0.0617398647591472;0.2;-9.0416582939215
0.22;-0.0567608322016895;0.22;-7.93081606738269
0.24;-0.0517817996442318;0.24;-7.98062962014228
0.26;-0.0617398647591472;0.26;-9.10641591250896
0.28;-0.0517817996442318;0.28;-7.98062962014228
0.3;-0.0567608322016895;0.3;-8.35921262111515
0.32;-0.0617398647591472;0.32;-9.23593114968389
0.34;-0.0517817996442318;0.34;-7.83118896186352
0.36;-0.0617398647591472;0.36;-8.53854141104966
0.38;-0.0617398647591472;0.38;-9.13132268888876
0.4;-0.0418237345293164;0.4;-7.09394838102162
0.42;-0.0617398647591472;0.42;-8.94701254367828
0.44;-0.0567608322016895;0.44;-8.135051633697
0.46;-0.0517817996442318;0.46;-7.74650592217222
0.48;-0.0617398647591472;0.48;-9.09645320195705
0.5;-0.0517817996442318;0.5;-8.02546181762591
0.52;-0.0567608322016895;0.52;-8.14501434424892
0.54;-0.0617398647591472;0.54;-9.02173287281767
0.56;-0.0567608322016895;0.56;-7.91089064627886
0.58;-0.0567608322016895;0.58;-8.4737837924622
0.6;-0.0617398647591472;0.6;-9.09645320195705
0.62;-0.0468027670867741;0.62;-7.34799750009552
0.64;-0.0617398647591472;0.64;-8.77266510901973
0.66;-0.0617398647591472;0.66;-9.08150913612917
0.68;-0.0468027670867741;0.68;-6.69543995894492
0.7;-0.0617398647591472;0.7;-8.90716170147061
0.72;-0.0567608322016895;0.72;-8.28449229197577
0.74;-0.0517817996442318;0.74;-7.50241951365024
0.76;-0.0567608322016895;0.76;-9.03667693864554
0.78;-0.0517817996442318;0.78;-8.06531265983358
0.8;-0.0517817996442318;0.8;-8.07029401510954
0.82;-0.0567608322016895;0.82;-8.94203118840232
0.84;-0.0567608322016895;0.84;-7.92085335683078
0.86;-0.0567608322016895;0.86;-8.34426855528727
0.88;-0.0617398647591472;0.88;-9.15124810999259
0.9;-0.0567608322016895;0.9;-7.74650592217222
0.92;-0.0617398647591472;0.92;-8.63318716129288
0.94;-0.0617398647591472;0.94;-9.12135997833684
0.96;-0.0517817996442318;0.96;-7.24837039457634
0.98;-0.0567608322016895;0.98;-8.80753459595144
1;-0.0617398647591472;1;-8.96693796478212
1.02;-0.0517817996442318;1.02;-7.18859413126484
1.04;-0.0567608322016895;1.04;-8.90218034619465
1.06;-0.0567608322016895;1.06;-8.62820580601692
1.08;-0.0517817996442318;1.08;-7.651860171929
1.1;-0.0617398647591472;1.1;-9.00180745171383
1.12;-0.0567608322016895;1.12;-8.19980925228447
1.14;-0.0517817996442318;1.14;-7.51238222420216
1.16;-0.0567608322016895;1.16;-9.00180745171383
1.18;-0.0567608322016895;1.18;-8.08523808093742
1.2;-0.0517817996442318;1.2;-7.69669236941263
1.22;-0.0617398647591472;1.22;-9.00180745171383
1.24;-0.0567608322016895;1.24;-8.04040588345379
1.26;-0.0517817996442318;1.26;-7.79631947493181
1.28;-0.0567608322016895;1.28;-8.85236679343507
