Temps;EA0;Temps;EA1
0;-0.0617398647591472;0;-8.22969738394022
0.02;-0.0617398647591472;0.02;-8.22471602866426
0.04;-0.0766769624315202;0.04;-9.36046503158286
0.06;-0.0567608322016895;0.06;-7.18361277598888
0.08;-0.0716979298740625;0.08;-9.21600572858006
0.1;-0.0617398647591472;0.1;-7.88100251462311
0.12;-0.0716979298740625;0.12;-8.63318716129288
0.14;-0.0716979298740625;0.14;-9.17615488637239
0.16;-0.0567608322016895;0.16;-7.37290427647531
0.18;-0.0716979298740625;0.18;-9.02173287281767
0.2;-0.0667188973166049;0.2;-8.23467873921618
0.22;-0.0667188973166049;0.22;-8.43393295025453
0.24;-0.0716979298740625;0.24;-8.94701254367828
0.26;-0.0617398647591472;0.26;-7.54227035585791
0.28;-0.0716979298740625;0.28;-8.77764646429569
0.3;-0.0716979298740625;0.3;-9.16121082054451
0.32;-0.0617398647591472;0.32;-7.77141269855201
0.34;-0.0716979298740625;0.34;-9.12135997833684
0.36;-0.0617398647591472;0.36;-7.98561097541824
0.38;-0.0667188973166049;0.38;-8.2446414497681
0.4;-0.0716979298740625;0.4;-9.23094979440793
0.42;-0.0567608322016895;0.42;-6.8548433277756
0.44;-0.0716979298740625;0.44;-8.93206847785041
0.46;-0.0667188973166049;0.46;-8.44887701608241
0.48;-0.0617398647591472;0.48;-7.68174830358475
0.5;-0.0716979298740625;0.5;-9.08150913612917
0.52;-0.0617398647591472;0.52;-8.16992112062871
0.54;-0.0716979298740625;0.54;-8.68300071405247
0.56;-0.0716979298740625;0.56;-8.90716170147061
0.58;-0.0567608322016895;0.58;-7.41773647395894
0.6;-0.0716979298740625;0.6;-8.84738543815911
0.62;-0.0716979298740625;0.62;-8.82247866177931
0.64;-0.0617398647591472;0.64;-7.83118896186352
0.66;-0.0766769624315202;0.66;-9.07154642557725
0.68;-0.0667188973166049;0.68;-8.00055504124612
0.7;-0.0667188973166049;0.7;-8.15497705480084
0.72;-0.0716979298740625;0.72;-9.18113624164835
0.74;-0.0617398647591472;0.74;-6.8548433277756
0.76;-0.0716979298740625;0.76;-8.96693796478212
0.78;-0.0667188973166049;0.78;-8.14003298897296
0.8;-0.0617398647591472;0.8;-7.91587200155482
0.82;-0.0667188973166049;0.82;-9.17117353109643
0.84;-0.0667188973166049;0.84;-7.93579742265865
0.86;-0.0716979298740625;0.86;-9.01675151754171
0.88;-0.0716979298740625;0.88;-8.60329902963713
0.9;-0.0667188973166049;0.9;-8.02048046234995
0.92;-0.0766769624315202;0.92;-9.13132268888876
0.94;-0.0617398647591472;0.94;-7.45260596089065
0.96;-0.0716979298740625;0.96;-9.08649049140513
0.98;-0.0667188973166049;0.98;-8.12010756786913
1;-0.0716979298740625;1;-8.62322445074096
1.02;-0.0766769624315202;1.02;-9.33057689992711
1.04;-0.0667188973166049;1.04;-7.87602115934715
1.06;-0.0766769624315202;1.06;-9.06158371502534
1.08;-0.0667188973166049;1.08;-7.80130083020777
1.1;-0.0766769624315202;1.1;-9.00678880698979
1.12;-0.0716979298740625;1.12;-8.23966009449214
1.14;-0.0716979298740625;1.14;-8.54850412160158
1.16;-0.0816559949889779;1.16;-9.16619217582047
1.18;-0.0667188973166049;1.18;-7.76144998800009
1.2;-0.0816559949889779;1.2;-9.22596843913198
1.22;-0.0716979298740625;1.22;-8.02546181762591
1.24;-0.0716979298740625;1.24;-8.3891007527709
1.26;-0.0816559949889779;1.26;-9.17615488637239
1.28;-0.0667188973166049;1.28;-7.00428398605436
1.3;-0.0816559949889779;1.3;-9.05660235974938
1.32;-0.0766769624315202;1.32;-8.08025672566146
1.34;-0.0766769624315202;1.34;-8.14501434424892
1.36;-0.0866350275464356;1.36;-9.23593114968389
1.38;-0.0716979298740625;1.38;-7.83118896186352
1.4;-0.0866350275464356;1.4;-8.90716170147061
1.42;-0.0766769624315202;1.42;-8.23966009449214
1.44;-0.0766769624315202;1.44;-7.87103980407119
1.46;-0.0866350275464356;1.46;-9.11139726778492
1.48;-0.0766769624315202;1.48;-7.86107709351927
1.5;-0.0816559949889779;1.5;-8.62322445074096
1.52;-0.0916140601038933;1.52;-9.1263413336128
1.54;-0.0617398647591472;1.54;-6.73529080115259
1.56;-0.0866350275464356;1.56;-8.80753459595144
1.58;-0.0816559949889779;1.58;-8.10018214676529
1.6;-0.0816559949889779;1.6;-8.16493976535276
1.62;-0.0916140601038933;1.62;-9.19109895220026
1.64;-0.0766769624315202;1.64;-7.69171101413667
1.66;-0.0866350275464356;1.66;-8.83244137233123
1.68;-0.0816559949889779;1.68;-8.29445500252768
1.7;-0.0766769624315202;1.7;-7.94077877793461
1.72;-0.0916140601038933;1.72;-9.1861175969243
1.74;-0.0716979298740625;1.74;-7.69669236941263
1.76;-0.0866350275464356;1.76;-8.86731085926294
1.78;-0.0866350275464356;1.78;-8.54352276632562
1.8;-0.0766769624315202;1.8;-7.83118896186352
1.82;-0.0866350275464356;1.82;-9.07154642557725
1.84;-0.0766769624315202;1.84;-7.95572284376249
1.86;-0.0866350275464356;1.86;-8.90218034619465
1.88;-0.0916140601038933;1.88;-9.06656507030129
