Temps;EA0;Temps;EA1
0;-0.0587848462164402;0;-4.99061874393374
0.008;-0.0637665530666709;0.008;-5.4178042402491
0.016;-0.0637665530666709;0.016;-5.5469533437863
0.024;-0.0687482599169016;0.024;-5.57178970985115
0.032;-0.0587848462164402;0.032;-4.85650236718357
0.04;-0.0488214325159788;0.04;-4.29023322090507
0.048;-0.0587848462164402;0.048;-4.87140418682247
0.056;-0.0637665530666709;0.056;-5.28368786349893
0.064;-0.0637665530666709;0.064;-5.54198607057333
0.072;-0.0637665530666709;0.072;-5.57178970985115
0.08;-0.0637665530666709;0.08;-4.9806841975078
0.088;-0.0488214325159788;0.088;-4.23062594234943
0.096;-0.0538031393662095;0.096;-4.81676418147981
0.104;-0.0587848462164402;0.104;-5.26878604386002
0.112;-0.0687482599169016;0.112;-5.51714970450848
0.12;-0.0687482599169016;0.12;-5.58669152949005
0.128;-0.0687482599169016;0.128;-4.86146964039654
0.136;-0.0587848462164402;0.136;-4.71741871722043
0.144;-0.0538031393662095;0.144;-4.75218962971121
0.152;-0.0637665530666709;0.152;-5.20917876530439
0.16;-0.0687482599169016;0.16;-5.49728061165661
0.168;-0.0687482599169016;0.168;-5.53205152414739
0.176;-0.0587848462164402;0.176;-5.40786969382316
0.184;-0.0587848462164402;0.184;-4.79689508862793
0.192;-0.0538031393662095;0.192;-4.66277871187776
0.2;-0.0637665530666709;0.2;-5.07506238855422
0.208;-0.0737299667671323;0.208;-5.46250969916582
0.216;-0.0687482599169016;0.216;-5.59165880270302
0.224;-0.0687482599169016;0.224;-5.53701879736036
0.232;-0.0587848462164402;0.232;-4.81676418147981
0.24;-0.0587848462164402;0.24;-4.57833506725729
0.248;-0.0587848462164402;0.248;-5.03532420285046
0.256;-0.0687482599169016;0.256;-5.43270605988801
0.264;-0.0687482599169016;0.264;-5.59165880270302
0.272;-0.0637665530666709;0.272;-5.56185516342521
0.28;-0.0538031393662095;0.28;-4.8515350939706
0.288;-0.0538031393662095;0.288;-4.50879324227571
0.296;-0.0687482599169016;0.296;-4.98565147072077
0.304;-0.0637665530666709;0.304;-5.40786969382316
0.312;-0.0687482599169016;0.312;-5.55688789021224
0.32;-0.0687482599169016;0.32;-5.56682243663818
0.328;-0.0637665530666709;0.328;-4.8664369136095
0.336;-0.0538031393662095;0.336;-4.25049503520131
0.344;-0.0637665530666709;0.344;-4.89624055288732
0.352;-0.0637665530666709;0.352;-5.32839332241565
0.36;-0.0687482599169016;0.36;-5.5469533437863
0.368;-0.0687482599169016;0.368;-5.56682243663818
0.376;-0.0587848462164402;0.376;-4.96081510465592
0.384;-0.0488214325159788;0.384;-4.17598593700677
0.392;-0.0587848462164402;0.392;-4.81676418147981
0.4;-0.0637665530666709;0.4;-5.24891695100814
0.408;-0.0687482599169016;0.408;-5.51218243129551
0.416;-0.0687482599169016;0.416;-5.58172425627708
0.424;-0.0587848462164402;0.424;-4.90120782610029
0.432;-0.0587848462164402;0.432;-4.79192781541497
0.44;-0.0587848462164402;0.44;-4.69754962436855
0.448;-0.0637665530666709;0.448;-5.17937512602657
0.456;-0.0687482599169016;0.456;-5.51218243129551
0.464;-0.0637665530666709;0.464;-5.57178970985115
0.472;-0.0687482599169016;0.472;-5.52708425093442
0.48;-0.0587848462164402;0.48;-4.81676418147981
0.488;-0.0538031393662095;0.488;-4.61807325296104
0.496;-0.0637665530666709;0.496;-5.06016056891531
0.504;-0.0637665530666709;0.504;-5.45257515273988
0.512;-0.0687482599169016;0.512;-5.57675698306412
0.52;-0.0687482599169016;0.52;-5.54198607057333
0.528;-0.0587848462164402;0.528;-4.8515350939706
0.536;-0.0538031393662095;0.536;-4.46905505657196
0.544;-0.0587848462164402;0.544;-4.92107691895217
0.552;-0.0637665530666709;0.552;-5.31845877598971
0.56;-0.0687482599169016;0.56;-5.55688789021224
0.568;-0.0687482599169016;0.568;-5.59165880270302
0.576;-0.0587848462164402;0.576;-4.8664369136095
0.584;-0.0538031393662095;0.584;-4.23062594234943
0.592;-0.0587848462164402;0.592;-4.79192781541497
0.6;-0.0637665530666709;0.6;-5.26381877064705
0.608;-0.0687482599169016;0.608;-5.51218243129551
0.616;-0.0687482599169016;0.616;-5.57675698306412
0.624;-0.0587848462164402;0.624;-4.92107691895217
0.632;-0.0488214325159788;0.632;-4.02200046740472
0.64;-0.0538031393662095;0.64;-4.66774598509073
0.648;-0.0637665530666709;0.648;-5.08996420819312
0.656;-0.0637665530666709;0.656;-5.43767333310097
0.664;-0.0687482599169016;0.664;-5.57178970985115
0.672;-0.0687482599169016;0.672;-5.55688789021224
0.68;-0.0587848462164402;0.68;-4.83166600111872
0.688;-0.0538031393662095;0.688;-4.52866233512759
0.696;-0.0587848462164402;0.696;-4.94591328501701
0.704;-0.0687482599169016;0.704;-5.38303332775831
0.712;-0.0687482599169016;0.712;-5.55688789021224
0.72;-0.0687482599169016;0.72;-5.56185516342521
0.728;-0.0587848462164402;0.728;-4.87637146003544
0.736;-0.0488214325159788;0.736;-4.15114957094193
0.744;-0.0587848462164402;0.744;-4.85650236718357
0.752;-0.0637665530666709;0.752;-5.26381877064705
0.76;-0.0687482599169016;0.76;-5.52211697772145
0.768;-0.0687482599169016;0.768;-5.56185516342521
0.776;-0.0587848462164402;0.776;-4.90617509931326
0.784;-0.0538031393662095;0.784;-4.52866233512759
0.792;-0.0538031393662095;0.792;-4.7372878100723
0.8;-0.0637665530666709;0.8;-5.18930967245251
0.808;-0.0637665530666709;0.808;-5.46747697237879
0.816;-0.0687482599169016;0.816;-5.58172425627708
0.824;-0.0637665530666709;0.824;-5.22408058494329
0.832;-0.0587848462164402;0.832;-4.786960542202
0.84;-0.0538031393662095;0.84;-4.65781143866479
0.848;-0.0637665530666709;0.848;-5.07506238855422
0.856;-0.0687482599169016;0.856;-5.4823787920177
0.864;-0.0687482599169016;0.864;-5.57675698306412
0.872;-0.0637665530666709;0.872;-5.54198607057333
0.88;-0.0587848462164402;0.88;-4.82173145469278
0.888;-0.0488214325159788;0.888;-4.15114957094193
0.896;-0.0587848462164402;0.896;-4.96578237786889
0.904;-0.0687482599169016;0.904;-5.36316423490644
0.912;-0.0687482599169016;0.912;-5.56185516342521
0.92;-0.0687482599169016;0.92;-5.5469533437863
0.928;-0.0587848462164402;0.928;-4.85650236718357
0.936;-0.0538031393662095;0.936;-4.37964413873851
0.944;-0.0538031393662095;0.944;-4.80682963505387
0.952;-0.0637665530666709;0.952;-5.27872059028596
0.96;-0.0637665530666709;0.96;-5.51714970450848
0.968;-0.0687482599169016;0.968;-5.59165880270302
0.976;-0.0538031393662095;0.976;-4.88133873324841
0.984;-0.0538031393662095;0.984;-4.6727132583037
0.992;-0.0538031393662095;0.992;-4.69754962436855
1;-0.0587848462164402;1;-5.15453875996172
1.008;-0.0488214325159788;1.008;-5.4823787920177
1.016;-0.0637665530666709;1.016;-5.57178970985115
1.024;-0.0637665530666709;1.024;-5.56682243663818
1.032;-0.0587848462164402;1.032;-4.82173145469278
1.04;-0.0488214325159788;1.04;-4.51872778870165
1.048;-0.0538031393662095;1.048;-5.00055329035968
1.056;-0.0637665530666709;1.056;-5.37309878133237
1.064;-0.0637665530666709;1.064;-5.56682243663818
1.072;-0.0637665530666709;1.072;-5.55192061699927
1.08;-0.0587848462164402;1.08;-4.91114237252623
1.088;-0.0488214325159788;1.088;-4.12134593166411
1.096;-0.0587848462164402;1.096;-4.8515350939706
1.104;-0.0637665530666709;1.104;-5.25388422422111
1.112;-0.0687482599169016;1.112;-5.53701879736036
1.12;-0.0687482599169016;1.12;-5.59165880270302
1.128;-0.0587848462164402;1.128;-4.85650236718357
1.136;-0.0538031393662095;1.136;-4.8018623618409
1.144;-0.0538031393662095;1.144;-4.62800779938698
1.152;-0.0637665530666709;1.152;-5.14957148674875
