Temps;EA0
0;-0.057620529551059
0.008;-0.057620529551059
0.016;-0.0526533164083958
0.024;-0.0526533164083958
0.032;-0.0675549558363855
0.04;-0.0526533164083958
0.048;-0.0476861032657325
0.056;-0.0476861032657325
0.064;-0.057620529551059
0.072;-0.057620529551059
0.08;-0.0526533164083958
0.088;-0.057620529551059
0.096;-0.057620529551059
0.104;-0.057620529551059
0.112;-0.0526533164083958
0.12;-0.0427188901230693
0.128;-0.0526533164083958
0.136;-0.0625877426937222
0.144;-0.0526533164083958
0.152;-0.0526533164083958
0.16;-0.057620529551059
0.168;-0.0526533164083958
0.176;-0.0476861032657325
0.184;-0.0526533164083958
0.192;-0.0526533164083958
0.2;-0.057620529551059
0.208;-0.057620529551059
0.216;-0.0526533164083958
0.224;-0.0476861032657325
0.232;-0.0476861032657325
0.24;-0.0526533164083958
0.248;-0.0476861032657325
0.256;-0.0476861032657325
0.264;-0.057620529551059
0.272;-0.057620529551059
0.28;-0.0526533164083958
0.288;-0.057620529551059
0.296;-0.0526533164083958
0.304;-0.0526533164083958
0.312;-0.0526533164083958
0.32;-0.0476861032657325
0.328;-0.0526533164083958
0.336;-0.0675549558363855
0.344;-0.037751676980406
0.352;-0.0476861032657325
0.36;-0.057620529551059
0.368;-0.057620529551059
0.376;-0.0476861032657325
0.384;-0.0476861032657325
0.392;-0.0427188901230693
0.4;-0.0675549558363855
0.408;-0.057620529551059
0.416;-0.0476861032657325
0.424;-0.0526533164083958
0.432;-0.0526533164083958
0.44;-0.057620529551059
0.448;-0.0526533164083958
0.456;-0.0526533164083958
0.464;-0.0526533164083958
0.472;-0.0675549558363855
0.48;-0.057620529551059
0.488;-0.0476861032657325
0.496;-0.0427188901230693
0.504;-0.0476861032657325
0.512;-0.0526533164083958
0.52;-0.057620529551059
0.528;-0.0526533164083958
0.536;-0.0526533164083958
0.544;-0.0625877426937222
0.552;-0.0526533164083958
0.56;-0.0476861032657325
0.568;-0.0526533164083958
0.576;-0.0725221689790487
0.584;-0.057620529551059
0.592;-0.0476861032657325
0.6;-0.0526533164083958
0.608;-0.057620529551059
0.616;-0.057620529551059
0.624;-0.0476861032657325
0.632;-0.0675549558363855
0.64;-0.0476861032657325
0.648;-0.0526533164083958
0.656;-0.0526533164083958
0.664;-0.0476861032657325
0.672;-0.0526533164083958
0.68;-0.0526533164083958
0.688;-0.057620529551059
0.696;-0.0526533164083958
0.704;-0.0476861032657325
0.712;-0.0427188901230693
0.72;-0.0476861032657325
0.728;-0.0526533164083958
0.736;-0.037751676980406
0.744;-0.0824565952643752
0.752;-0.0476861032657325
0.76;-0.0476861032657325
0.768;-0.0625877426937222
0.776;-0.0526533164083958
0.784;-0.0526533164083958
0.792;-0.0427188901230693
0.8;-0.0526533164083958
0.808;-0.0476861032657325
0.816;-0.0427188901230693
0.824;-0.057620529551059
0.832;-0.0625877426937222
0.84;-0.0476861032657325
0.848;-0.0476861032657325
0.856;-0.0526533164083958
0.864;-0.0526533164083958
0.872;-0.0526533164083958
0.88;-0.0476861032657325
0.888;-0.0476861032657325
0.896;-0.0476861032657325
0.904;-0.0476861032657325
0.912;-0.0526533164083958
0.92;-0.0526533164083958
0.928;-0.037751676980406
0.936;-0.0476861032657325
0.944;-0.0476861032657325
0.952;-0.057620529551059
0.96;-0.0526533164083958
0.968;-0.0526533164083958
0.976;-0.0476861032657325
0.984;-0.0427188901230693
0.992;-0.0476861032657325
1;-0.0526533164083958
1.008;-0.057620529551059
1.016;-0.0427188901230693
1.024;-0.0476861032657325
1.032;-0.0427188901230693
1.04;-0.0476861032657325
1.048;-0.0526533164083958
1.056;-0.0526533164083958
1.064;-0.0526533164083958
1.072;-0.0526533164083958
1.08;-0.0476861032657325
1.088;-0.0526533164083958
1.096;-0.0526533164083958
1.104;-0.057620529551059
1.112;-0.0476861032657325
1.12;-0.0427188901230693
1.128;-0.0476861032657325
1.136;-0.0526533164083958
1.144;-0.0526533164083958
1.152;-0.057620529551059
1.16;-0.0476861032657325
1.168;-0.0427188901230693
1.176;-0.057620529551059
1.184;-0.037751676980406
1.192;-0.0476861032657325
1.2;-0.0526533164083958
1.208;-0.0476861032657325
1.216;-0.0476861032657325
1.224;-0.0526533164083958
1.232;-0.057620529551059
1.24;-0.0526533164083958
1.248;-0.0526533164083958
1.256;-0.0526533164083958
1.264;-0.0427188901230693
1.272;-0.0526533164083958
1.28;-0.0526533164083958
1.288;-0.0526533164083958
1.296;-0.057620529551059
1.304;-0.0526533164083958
1.312;-0.0427188901230693
1.32;-0.0526533164083958
1.328;-0.0526533164083958
1.336;-0.0476861032657325
1.344;-0.0476861032657325
1.352;-0.0625877426937222
1.36;-0.057620529551059
1.368;-0.0526533164083958
1.376;-0.0178828244097531
1.384;-0.0476861032657325
1.392;-0.0427188901230693
1.4;-0.0476861032657325
1.408;-0.057620529551059
1.416;-0.057620529551059
1.424;-0.057620529551059
1.432;-0.0476861032657325
1.44;-0.0526533164083958
1.448;-0.0526533164083958
1.456;-0.0526533164083958
1.464;-0.0526533164083958
1.472;-0.0526533164083958
1.48;-0.0427188901230693
1.488;-0.0526533164083958
1.496;-0.0427188901230693
1.504;-0.057620529551059
1.512;-0.0476861032657325
1.52;-0.0427188901230693
1.528;-0.0476861032657325
1.536;-0.0526533164083958
1.544;-0.0526533164083958
1.552;-0.057620529551059
1.56;-0.0526533164083958
1.568;-0.0476861032657325
1.576;-0.0476861032657325
1.584;-0.0526533164083958
1.592;-0.0526533164083958
1.6;-0.0526533164083958
1.608;-0.0476861032657325
1.616;-0.0476861032657325
1.624;-0.0526533164083958
1.632;-0.057620529551059
1.64;-0.0526533164083958
1.648;-0.0476861032657325
1.656;-0.037751676980406
1.664;-0.0526533164083958
1.672;-0.0725221689790487
1.68;-0.0526533164083958
1.688;-0.057620529551059
1.696;-0.0476861032657325
1.704;-0.0476861032657325
1.712;-0.0476861032657325
1.72;-0.0526533164083958
1.728;-0.057620529551059
1.736;-0.0476861032657325
1.744;-0.0476861032657325
1.752;-0.0476861032657325
1.76;-0.0526533164083958
1.768;-0.0526533164083958
1.776;-0.0427188901230693
1.784;-0.0427188901230693
1.792;-0.0476861032657325
1.8;-0.0476861032657325
1.808;-0.0526533164083958
1.816;-0.0327844638377428
1.824;-0.0526533164083958
1.832;-0.0427188901230693
1.84;-0.0526533164083958
1.848;-0.0625877426937222
1.856;-0.0476861032657325
1.864;-0.057620529551059
1.872;-0.0476861032657325
1.88;-0.0526533164083958
1.888;-0.0526533164083958
1.896;-0.0526533164083958
1.904;-0.0526533164083958
1.912;-0.0526533164083958
1.92;-0.0476861032657325
1.928;-0.057620529551059
1.936;-0.0476861032657325
1.944;-0.057620529551059
1.952;-0.057620529551059
1.96;-0.0427188901230693
1.968;-0.0476861032657325
1.976;-0.0476861032657325
1.984;-0.037751676980406
