Temps;EA0
0;-0,326445292681456
0,01;-0,316492693498731
0,02;-0,286634895950556
0,03;-0,236871900036931
0,04;-0,296587495133281
0,05;-0,321468993090093
0,06;-0,321468993090093
0,07;-0,331421592272818
0,08;-0,291611195541918
0,09;-0,261753397993743
0,1;-0,286634895950556
0,11;-0,316492693498731
0,12;-0,326445292681456
0,13;-0,326445292681456
0,14;-0,301563794724643
0,15;-0,271705997176468
0,16;-0,276682296767831
0,17;-0,291611195541918
0,18;-0,321468993090093
0,19;-0,326445292681456
0,2;-0,306540094316006
0,21;-0,281658596359193
0,22;-0,261753397993743
0,23;-0,291611195541918
0,24;-0,326445292681456
0,25;-0,326445292681456
0,26;-0,311516393907368
0,27;-0,286634895950556
0,28;-0,266729697585106
0,29;-0,281658596359193
0,3;-0,331421592272818
0,31;-0,331421592272818
0,32;-0,321468993090093
0,33;-0,296587495133281
0,34;-0,236871900036931
0,35;-0,291611195541918
0,36;-0,336397891864181
0,37;-0,336397891864181
0,38;-0,321468993090093
0,39;-0,296587495133281
0,4;-0,266729697585106
0,41;-0,296587495133281
0,42;-0,331421592272818
0,43;-0,336397891864181
0,44;-0,331421592272818
0,45;-0,321468993090093
0,46;-0,276682296767831
0,47;-0,301563794724643
0,48;-0,321468993090093
0,49;-0,341374191455543
0,5;-0,346350491046906
0,51;-0,326445292681456
0,52;-0,296587495133281
0,53;-0,276682296767831
0,54;-0,316492693498731
0,55;-0,346350491046906
0,56;-0,336397891864181
0,57;-0,326445292681456
0,58;-0,296587495133281
0,59;-0,276682296767831
0,6;-0,306540094316006
0,61;-0,341374191455543
0,62;-0,341374191455543
0,63;-0,321468993090093
0,64;-0,291611195541918
0,65;-0,256777098402381
0,66;-0,306540094316006
0,67;-0,341374191455543
0,68;-0,346350491046906
0,69;-0,326445292681456
0,7;-0,296587495133281
0,71;-0,271705997176468
0,72;-0,306540094316006
0,73;-0,336397891864181
0,74;-0,341374191455543
0,75;-0,326445292681456
0,76;-0,291611195541918
0,77;-0,281658596359193
0,78;-0,306540094316006
0,79;-0,341374191455543
0,8;-0,336397891864181
0,81;-0,321468993090093
0,82;-0,286634895950556
0,83;-0,281658596359193
0,84;-0,306540094316006
0,85;-0,341374191455543
0,86;-0,341374191455543
0,87;-0,321468993090093
0,88;-0,286634895950556
0,89;-0,291611195541918
0,9;-0,316492693498731
0,91;-0,346350491046906
0,92;-0,341374191455543
0,93;-0,321468993090093
0,94;-0,286634895950556
0,95;-0,316492693498731
0,96;-0,346350491046906
0,97;-0,341374191455543
0,98;-0,341374191455543
0,99;-0,316492693498731
1;-0,286634895950556
1,01;-0,331421592272818
1,02;-0,35630309022963
1,03;-0,35630309022963
1,04;-0,341374191455543
1,05;-0,311516393907368
1,06;-0,291611195541918
1,07;-0,326445292681456
1,08;-0,35630309022963
1,09;-0,351326790638268
1,1;-0,321468993090093
1,11;-0,286634895950556
1,12;-0,316492693498731
1,13;-0,35630309022963
1,14;-0,351326790638268
1,15;-0,336397891864181
1,16;-0,296587495133281
1,17;-0,311516393907368
1,18;-0,346350491046906
1,19;-0,351326790638268
1,2;-0,346350491046906
1,21;-0,311516393907368
1,22;-0,266729697585106
1,23;-0,316492693498731
1,24;-0,361279389820993
1,25;-0,361279389820993
1,26;-0,331421592272818
1,27;-0,296587495133281
1,28;-0,311516393907368
1,29;-0,35630309022963
1,3;-0,346350491046906
1,31;-0,346350491046906
1,32;-0,316492693498731
1,33;-0,276682296767831
1,34;-0,326445292681456
1,35;-0,366255689412355
1,36;-0,35630309022963
1,37;-0,331421592272818
1,38;-0,296587495133281
1,39;-0,321468993090093
1,4;-0,35630309022963
1,41;-0,35630309022963
1,42;-0,35630309022963
1,43;-0,326445292681456
1,44;-0,261753397993743
1,45;-0,321468993090093
1,46;-0,366255689412355
1,47;-0,361279389820993
1,48;-0,336397891864181
1,49;-0,306540094316006
1,5;-0,316492693498731
1,51;-0,336397891864181
1,52;-0,351326790638268
1,53;-0,351326790638268
1,54;-0,316492693498731
1,55;-0,271705997176468
1,56;-0,316492693498731
1,57;-0,361279389820993
1,58;-0,35630309022963
1,59;-0,336397891864181
1,6;-0,301563794724643
1,61;-0,301563794724643
1,62;-0,346350491046906
1,63;-0,346350491046906
1,64;-0,351326790638268
1,65;-0,311516393907368
1,66;-0,296587495133281
1,67;-0,326445292681456
1,68;-0,366255689412355
1,69;-0,35630309022963
1,7;-0,336397891864181
1,71;-0,311516393907368
1,72;-0,331421592272818
1,73;-0,37620828859508
1,74;-0,386160887777805
1,75;-0,366255689412355
1,76;-0,326445292681456
1,77;-0,346350491046906
1,78;-0,381184588186443
1,79;-0,381184588186443
1,8;-0,386160887777805
1,81;-0,326445292681456
1,82;-0,336397891864181
1,83;-0,371231989003718
1,84;-0,386160887777805
1,85;-0,371231989003718
1,86;-0,326445292681456
1,87;-0,306540094316006
1,88;-0,386160887777805
1,89;-0,386160887777805
1,9;-0,366255689412355
1,91;-0,326445292681456
1,92;-0,331421592272818
1,93;-0,37620828859508
1,94;-0,381184588186443
1,95;-0,361279389820993
1,96;-0,321468993090093
1,97;-0,341374191455543
1,98;-0,386160887777805
1,99;-0,386160887777805
2;-0,361279389820993
2,01;-0,301563794724643
2,02;-0,341374191455543
2,03;-0,381184588186443
2,04;-0,381184588186443
2,05;-0,341374191455543
2,06;-0,296587495133281
2,07;-0,351326790638268
2,08;-0,386160887777805
2,09;-0,371231989003718
2,1;-0,331421592272818
2,11;-0,336397891864181
2,12;-0,386160887777805
2,13;-0,37620828859508
2,14;-0,361279389820993
2,15;-0,311516393907368
2,16;-0,346350491046906
2,17;-0,37620828859508
2,18;-0,381184588186443
2,19;-0,346350491046906
2,2;-0,301563794724643
2,21;-0,346350491046906
2,22;-0,386160887777805
2,23;-0,371231989003718
2,24;-0,331421592272818
2,25;-0,336397891864181
2,26;-0,37620828859508
2,27;-0,381184588186443
2,28;-0,361279389820993
2,29;-0,316492693498731
2,3;-0,346350491046906
2,31;-0,37620828859508
2,32;-0,386160887777805
2,33;-0,346350491046906
2,34;-0,306540094316006
2,35;-0,35630309022963
2,36;-0,386160887777805
2,37;-0,366255689412355
2,38;-0,321468993090093
2,39;-0,341374191455543
2,4;-0,386160887777805
2,41;-0,37620828859508
2,42;-0,341374191455543
2,43;-0,341374191455543
2,44;-0,391137187369168
2,45;-0,391137187369168
2,46;-0,361279389820993
2,47;-0,321468993090093
2,48;-0,35630309022963
2,49;-0,401089786551893
2,5;-0,391137187369168
2,51;-0,35630309022963
2,52;-0,326445292681456
2,53;-0,37620828859508
2,54;-0,381184588186443
2,55;-0,361279389820993
2,56;-0,291611195541918
2,57;-0,361279389820993
2,58;-0,39611348696053
2,59;-0,381184588186443
2,6;-0,341374191455543
2,61;-0,351326790638268
2,62;-0,39611348696053
2,63;-0,391137187369168
2,64;-0,361279389820993
2,65;-0,296587495133281
2,66;-0,35630309022963
2,67;-0,39611348696053
2,68;-0,371231989003718
2,69;-0,321468993090093
2,7;-0,35630309022963
2,71;-0,406066086143255
2,72;-0,386160887777805
2,73;-0,346350491046906
2,74;-0,316492693498731
2,75;-0,39611348696053
2,76;-0,391137187369168
2,77;-0,37620828859508
2,78;-0,286634895950556
2,79;-0,35630309022963
2,8;-0,391137187369168
2,81;-0,371231989003718
2,82;-0,326445292681456
2,83;-0,346350491046906
2,84;-0,386160887777805
2,85;-0,381184588186443
2,86;-0,336397891864181
2,87;-0,346350491046906
2,88;-0,391137187369168
2,89;-0,391137187369168
2,9;-0,351326790638268
2,91;-0,316492693498731
2,92;-0,391137187369168
2,93;-0,391137187369168
2,94;-0,35630309022963
2,95;-0,311516393907368
2,96;-0,37620828859508
2,97;-0,401089786551893
2,98;-0,361279389820993
2,99;-0,311516393907368
3;-0,35630309022963
3,01;-0,39611348696053
3,02;-0,37620828859508
3,03;-0,321468993090093
3,04;-0,351326790638268
3,05;-0,39611348696053
3,06;-0,37620828859508
3,07;-0,336397891864181
3,08;-0,361279389820993
3,09;-0,39611348696053
3,1;-0,391137187369168
3,11;-0,346350491046906
3,12;-0,341374191455543
3,13;-0,39611348696053
3,14;-0,406066086143255
3,15;-0,366255689412355
3,16;-0,306540094316006
3,17;-0,37620828859508
3,18;-0,401089786551893
3,19;-0,37620828859508
3,2;-0,326445292681456
3,21;-0,361279389820993
3,22;-0,406066086143255
3,23;-0,39611348696053
3,24;-0,346350491046906
3,25;-0,35630309022963
3,26;-0,406066086143255
3,27;-0,401089786551893
3,28;-0,361279389820993
3,29;-0,321468993090093
3,3;-0,401089786551893
3,31;-0,401089786551893
3,32;-0,381184588186443
3,33;-0,331421592272818
3,34;-0,37620828859508
3,35;-0,406066086143255
3,36;-0,391137187369168
3,37;-0,346350491046906
3,38;-0,35630309022963
3,39;-0,406066086143255
3,4;-0,39611348696053
3,41;-0,361279389820993
3,42;-0,326445292681456
3,43;-0,406066086143255
3,44;-0,406066086143255
3,45;-0,371231989003718
3,46;-0,316492693498731
3,47;-0,381184588186443
3,48;-0,401089786551893
3,49;-0,381184588186443
3,5;-0,321468993090093
3,51;-0,366255689412355
3,52;-0,401089786551893
3,53;-0,386160887777805
3,54;-0,326445292681456
3,55;-0,366255689412355
3,56;-0,406066086143255
3,57;-0,391137187369168
3,58;-0,341374191455543
3,59;-0,361279389820993
3,6;-0,401089786551893
3,61;-0,391137187369168
3,62;-0,346350491046906
3,63;-0,361279389820993
3,64;-0,411042385734618
3,65;-0,401089786551893
3,66;-0,361279389820993
3,67;-0,351326790638268
3,68;-0,411042385734618
3,69;-0,406066086143255
3,7;-0,371231989003718
3,71;-0,346350491046906
3,72;-0,41601868532598
3,73;-0,425971284508705
3,74;-0,386160887777805
3,75;-0,336397891864181
3,76;-0,420994984917343
3,77;-0,425971284508705
3,78;-0,39611348696053
3,79;-0,336397891864181
3,8;-0,401089786551893
3,81;-0,445876482874155
3,82;-0,406066086143255
3,83;-0,321468993090093
3,84;-0,39611348696053
3,85;-0,43592388369143
3,86;-0,401089786551893
3,87;-0,306540094316006
3,88;-0,41601868532598
3,89;-0,425971284508705
3,9;-0,391137187369168
3,91;-0,351326790638268
3,92;-0,43592388369143
3,93;-0,425971284508705
3,94;-0,37620828859508
3,95;-0,381184588186443
3,96;-0,430947584100068
3,97;-0,41601868532598
3,98;-0,361279389820993
3,99;-0,381184588186443
4;-0,425971284508705
4,01;-0,406066086143255
4,02;-0,351326790638268
4,03;-0,391137187369168
4,04;-0,425971284508705
4,05;-0,39611348696053
4,06;-0,336397891864181
4,07;-0,430947584100068
4,08;-0,425971284508705
4,09;-0,391137187369168
4,1;-0,37620828859508
4,11;-0,430947584100068
4,12;-0,41601868532598
4,13;-0,366255689412355
4,14;-0,391137187369168
4,15;-0,430947584100068
4,16;-0,411042385734618
4,17;-0,346350491046906
4,18;-0,39611348696053
4,19;-0,430947584100068
4,2;-0,39611348696053
4,21;-0,326445292681456
4,22;-0,430947584100068
4,23;-0,430947584100068
4,24;-0,37620828859508
4,25;-0,386160887777805
4,26;-0,440900183282793
4,27;-0,425971284508705
4,28;-0,366255689412355
